departamento_residencia,municipio_residencia,births
ANTIOQUIA,MEDELLIN,9455
ANTIOQUIA,BELLO,2355
ANTIOQUIA,BARBOSA,265
ANTIOQUIA,COPACABANA,242
ANTIOQUIA,ITAGÜI,227
ANTIOQUIA,URRAO,181
ANTIOQUIA,GIRARDOTA,174
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,166
CHOCO,QUIBDO,149
ANTIOQUIA,SEGOVIA,145
ANTIOQUIA,SONSON,138
ANTIOQUIA,REMEDIOS,97
ANTIOQUIA,ANDES,95
ANTIOQUIA,SANTA ROSA DE OSOS,89
ANTIOQUIA,ITUANGO,87
ANTIOQUIA,SAN CARLOS,78
ANTIOQUIA,BETULIA,76
ANTIOQUIA,SAN ROQUE,73
ANTIOQUIA,RIONEGRO,72
ANTIOQUIA,SALGAR,63
ANTIOQUIA,VEGACHI,62
ANTIOQUIA,DONMATIAS,60
ANTIOQUIA,GUARNE,60
ANTIOQUIA,CALDAS,59
ANTIOQUIA,MARINILLA,58
ANTIOQUIA,AMALFI,57
CHOCO,BAHIA SOLANO,55
ANTIOQUIA,CAICEDO,50
ANTIOQUIA,NARINO,47
ANTIOQUIA,FRONTINO,46
ANTIOQUIA,SAN RAFAEL,46
ANTIOQUIA,CONCORDIA,46
ANTIOQUIA,SAN LUIS,45
ANTIOQUIA,EL CARMEN DE VIBORAL,44
ANTIOQUIA,YARUMAL,41
ANTIOQUIA,ANORI,41
ANTIOQUIA,ARGELIA,38
ANTIOQUIA,EL SANTUARIO,38
ANTIOQUIA,SANTO DOMINGO,37
ANTIOQUIA,PUERTO TRIUNFO,37
ANTIOQUIA,LA ESTRELLA,37
ANTIOQUIA,COCORNA,36
ANTIOQUIA,DABEIBA,36
ANTIOQUIA,ABEJORRAL,34
ANTIOQUIA,ENTRERRIOS,34
ANTIOQUIA,PUERTO BERRIO,33
ANTIOQUIA,SABANETA,31
ANTIOQUIA,CISNEROS,31
ANTIOQUIA,ENVIGADO,30
ANTIOQUIA,GUADALUPE,29
ANTIOQUIA,YOLOMBO,28
ANTIOQUIA,EBEJICO,28
ANTIOQUIA,CANASGORDAS,27
ANTIOQUIA,ITAGUI,27
ANTIOQUIA,MACEO,27
ANTIOQUIA,VENECIA,26
ANTIOQUIA,BURITICA,26
ANTIOQUIA,SOPETRAN,26
ANTIOQUIA,SAN JERONIMO,26
